date_confirmation,country,new_cases,cumulative_cases,new_deaths,cumulative_deaths
2020-01-03,Kenya,0,0,0,0
2020-01-04,Kenya,0,0,0,0
2020-01-05,Kenya,0,0,0,0
2020-01-06,Kenya,0,0,0,0
2020-01-07,Kenya,0,0,0,0
2020-01-08,Kenya,0,0,0,0
2020-01-09,Kenya,0,0,0,0
2020-01-10,Kenya,0,0,0,0
2020-01-11,Kenya,0,0,0,0
2020-01-12,Kenya,0,0,0,0
2020-01-13,Kenya,0,0,0,0
2020-01-14,Kenya,0,0,0,0
2020-01-15,Kenya,0,0,0,0
2020-01-16,Kenya,0,0,0,0
2020-01-17,Kenya,0,0,0,0
2020-01-18,Kenya,0,0,0,0
2020-01-19,Kenya,0,0,0,0
2020-01-20,Kenya,0,0,0,0
2020-01-21,Kenya,0,0,0,0
2020-01-22,Kenya,0,0,0,0
2020-01-23,Kenya,0,0,0,0
2020-01-24,Kenya,0,0,0,0
2020-01-25,Kenya,0,0,0,0
2020-01-26,Kenya,0,0,0,0
2020-01-27,Kenya,0,0,0,0
2020-01-28,Kenya,0,0,0,0
2020-01-29,Kenya,0,0,0,0
2020-01-30,Kenya,0,0,0,0
2020-01-31,Kenya,0,0,0,0
2020-02-01,Kenya,0,0,0,0
2020-02-02,Kenya,0,0,0,0
2020-02-03,Kenya,0,0,0,0
2020-02-04,Kenya,0,0,0,0
2020-02-05,Kenya,0,0,0,0
2020-02-06,Kenya,0,0,0,0
2020-02-07,Kenya,0,0,0,0
2020-02-08,Kenya,0,0,0,0
2020-02-09,Kenya,0,0,0,0
2020-02-10,Kenya,0,0,0,0
2020-02-11,Kenya,0,0,0,0
2020-02-12,Kenya,0,0,0,0
2020-02-13,Kenya,0,0,0,0
2020-02-14,Kenya,0,0,0,0
2020-02-15,Kenya,0,0,0,0
2020-02-16,Kenya,0,0,0,0
2020-02-17,Kenya,0,0,0,0
2020-02-18,Kenya,0,0,0,0
2020-02-19,Kenya,0,0,0,0
2020-02-20,Kenya,0,0,0,0
2020-02-21,Kenya,0,0,0,0
2020-02-22,Kenya,0,0,0,0
2020-02-23,Kenya,0,0,0,0
2020-02-24,Kenya,0,0,0,0
2020-02-25,Kenya,0,0,0,0
2020-02-26,Kenya,0,0,0,0
2020-02-27,Kenya,0,0,0,0
2020-02-28,Kenya,0,0,0,0
2020-02-29,Kenya,0,0,0,0
2020-03-01,Kenya,0,0,0,0
2020-03-02,Kenya,0,0,0,0
2020-03-03,Kenya,0,0,0,0
2020-03-04,Kenya,0,0,0,0
2020-03-05,Kenya,0,0,0,0
2020-03-06,Kenya,0,0,0,0
2020-03-07,Kenya,0,0,0,0
2020-03-08,Kenya,0,0,0,0
2020-03-09,Kenya,0,0,0,0
2020-03-10,Kenya,0,0,0,0
2020-03-11,Kenya,0,0,0,0
2020-03-12,Kenya,0,0,0,0
2020-03-13,Kenya,0,0,0,0
2020-03-14,Kenya,1,1,0,0
2020-03-15,Kenya,0,1,0,0
2020-03-16,Kenya,2,3,0,0
2020-03-17,Kenya,0,3,0,0
2020-03-18,Kenya,1,4,0,0
2020-03-19,Kenya,3,7,0,0
2020-03-20,Kenya,0,7,0,0
2020-03-21,Kenya,0,7,0,0
2020-03-22,Kenya,0,7,0,0
2020-03-23,Kenya,8,15,0,0
2020-03-24,Kenya,1,16,0,0
2020-03-25,Kenya,9,25,0,0
2020-03-26,Kenya,0,25,0,0
2020-03-27,Kenya,3,28,4,4
2020-03-28,Kenya,3,31,0,4
2020-03-29,Kenya,7,38,0,4
2020-03-30,Kenya,4,42,0,4
2020-03-31,Kenya,8,50,0,4
2020-04-01,Kenya,9,59,0,4
2020-04-02,Kenya,22,81,2,6
2020-04-03,Kenya,41,122,0,6
2020-04-04,Kenya,0,122,1,7
2020-04-05,Kenya,4,126,0,7
2020-04-06,Kenya,16,142,0,7
2020-04-07,Kenya,0,142,0,7
2020-04-08,Kenya,30,172,0,7
2020-04-09,Kenya,7,179,0,7
2020-04-10,Kenya,5,184,0,7
2020-04-11,Kenya,5,189,0,7
